start_time,esports_match_id,map_name,team_one_name,team_two_name,match_winner,map_winner,winning_team_final_map_score,losing_team_final_map_score
2020-07-18 08:20:10,34842,Temple of Anubis,Seoul Dynasty,Hangzhou Spark,Hangzhou Spark,Hangzhou Spark,2,1
2020-07-18 08:43:31,34842,Route 66,Seoul Dynasty,Hangzhou Spark,Hangzhou Spark,Hangzhou Spark,4,3
2020-07-18 09:21:39,34841,Nepal,Guangzhou Charge,London Spitfire,Guangzhou Charge,London Spitfire,2,1
2020-07-18 09:41:48,34841,Volskaya Industries,London Spitfire,Guangzhou Charge,Guangzhou Charge,Guangzhou Charge,2,0
2020-07-18 10:06:22,34841,Watchpoint: Gibraltar,London Spitfire,Guangzhou Charge,Guangzhou Charge,Guangzhou Charge,3,2
2020-07-18 10:31:19,34841,Eichenwalde,London Spitfire,Guangzhou Charge,Guangzhou Charge,Guangzhou Charge,3,2
2020-07-18 11:05:07,34836,Nepal,Chengdu Hunters,New York Excelsior,Chengdu Hunters,New York Excelsior,2,0
2020-07-18 11:21:39,34836,Temple of Anubis,Chengdu Hunters,New York Excelsior,Chengdu Hunters,New York Excelsior,2,1
2020-07-18 11:51:16,34836,Havana,Chengdu Hunters,New York Excelsior,Chengdu Hunters,Chengdu Hunters,2,1
2020-07-18 12:15:11,34836,Numbani,New York Excelsior,Chengdu Hunters,Chengdu Hunters,Chengdu Hunters,3,2
2020-07-18 12:36:49,34836,Lijiang Tower,Chengdu Hunters,New York Excelsior,Chengdu Hunters,Chengdu Hunters,2,0
2020-07-18 19:07:42,34835,Lijiang Tower,Vancouver Titans,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,2,0
2020-07-18 19:24:34,34835,Temple of Anubis,Vancouver Titans,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,2,0
2020-07-18 19:50:12,34835,Watchpoint: Gibraltar,Vancouver Titans,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,4,3
2020-07-18 20:29:09,34834,Ilios,Washington Justice,Toronto Defiant,Toronto Defiant,Toronto Defiant,2,1
2020-07-18 20:50:18,34834,Hanamura,Washington Justice,Toronto Defiant,Toronto Defiant,Toronto Defiant,2,1
2020-07-18 21:21:12,34834,Havana,Washington Justice,Toronto Defiant,Toronto Defiant,Toronto Defiant,1,0
2020-07-18 21:56:11,34833,Oasis,San Francisco Shock,Boston Uprising,San Francisco Shock,San Francisco Shock,2,0
2020-07-18 22:13:27,34833,Hanamura,San Francisco Shock,Boston Uprising,San Francisco Shock,San Francisco Shock,3,2
2020-07-18 22:45:46,34833,Route 66,Boston Uprising,San Francisco Shock,San Francisco Shock,San Francisco Shock,3,0
2020-07-18 23:19:54,34832,Ilios,Los Angeles Valiant,Atlanta Reign,Atlanta Reign,Atlanta Reign,2,1
2020-07-18 23:40:02,34832,Volskaya Industries,Los Angeles Valiant,Atlanta Reign,Atlanta Reign,Atlanta Reign,2,0
2020-07-19 00:08:02,34832,Route 66,Atlanta Reign,Los Angeles Valiant,Atlanta Reign,Atlanta Reign,5,4
2020-07-19 19:07:35,34831,Lijiang Tower,Paris Eternal,Toronto Defiant,Paris Eternal,Paris Eternal,2,0
2020-07-19 19:24:27,34831,Temple of Anubis,Toronto Defiant,Paris Eternal,Paris Eternal,Paris Eternal,2,0
2020-07-19 19:50:25,34831,Havana,Toronto Defiant,Paris Eternal,Paris Eternal,Paris Eternal,3,2
2020-07-19 20:26:47,34825,Ilios,Atlanta Reign,Florida Mayhem,Florida Mayhem,Florida Mayhem,2,1
2020-07-19 20:49:25,34825,Volskaya Industries,Florida Mayhem,Atlanta Reign,Florida Mayhem,Florida Mayhem,4,3
2020-07-19 21:28:22,34825,Route 66,Florida Mayhem,Atlanta Reign,Florida Mayhem,Atlanta Reign,3,1
2020-07-19 21:48:47,34825,Eichenwalde,Florida Mayhem,Atlanta Reign,Florida Mayhem,Florida Mayhem,1,0
2020-07-19 22:23:04,34824,Ilios,Boston Uprising,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,2,0
2020-07-19 22:39:13,34824,Hanamura,Boston Uprising,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,1,0
2020-07-19 23:08:44,34824,Route 66,Los Angeles Valiant,Boston Uprising,Los Angeles Valiant,Los Angeles Valiant,1,0
2020-07-24 19:10:19,34823,Nepal,Atlanta Reign,Boston Uprising,Atlanta Reign,Boston Uprising,2,0
2020-07-24 19:27:47,34823,Numbani,Atlanta Reign,Boston Uprising,Atlanta Reign,Atlanta Reign,3,2
2020-07-24 20:01:59,34823,Temple of Anubis,Atlanta Reign,Boston Uprising,Atlanta Reign,Atlanta Reign,3,2
